ID,_created_on,_last_updated_on,_revision,_partneruuid,SNAPSHOT_DATE,SKU,FNSKU,ASIN,PRODUCT_NAME,condition,AVALIABLE_QUANTITY_SELLABLE,QTY_WITH_REMOVALS_IN_PROGRESS,INV_AGE_0_TO_90_DAYS,INV_AGE_91_TO_180_DAYS,INV_AGE_181_TO_270_DAYS,INV_AGE_271_TO_365_DAYS,INV_AGE_365_PLUS_DAYS,CURRENCY,QTY_TO_BE_CHARGED_LTSF_6_MO,PROJECTED_LTSF_6_MO,QTY_TO_BE_CHARGED_LTSF_12_MO,PROJECTED_LTSF_12_MO,UNITS_SHIPPED_LAST_7_DAYS,UNITS_SHIPPED_LAST_30_DAYS,UNITS_SHIPPED_LAST_60_DAYS,UNITS_SHIPPED_LAST_90_DAYS,ALERT,YOUR_PRICE,SALES_PRICE,LOWEST_PRICE_NEW,LOWEST_PRICE_USED,RECOMMENDED_ACTION,HEALTHY_INVENTORY_LEVEL,RECOMMENDED_SALES_PRICE,RECOMMENDED_SALE_DURATION_DAYS,RECOMMENDED_REMOVAL_QUANTITY,ESTIMATED_COST_SAVINGS_OF_REMOVAL,SELL_THROUGH,CUBIC_FEET,STORAGE_TYPE,ESTIMATED_COST_SAVINGS_OF_RECOMMENDED_ACTIONS,ITEM_VOLUME,VOLUME_UNITS,MARKETPLACE,PRODUCT_GROUP,SALES_RANK,DAYS_OF_SUPPLY,ESTIMATED_EXCESS_QUANTITY,WEEKS_OF_COVER_T30,WEEKS_OF_COVER_T90,FEATURED_OFFER_PRICE,SALES_SHIPPED_LAST_7_DAYS,SALES_SHIPPED_LAST_30_DAYS,SALES_SHIPPED_LAST_60_DAYS,SALES_SHIPPED_LAST_90_DAYS,INV_AGE_0_TO_30_DAYS,INV_AGE_31_TO_60_DAYS,INV_AGE_61_TO_90_DAYS,INV_AGE_181_TO_330_DAYS,INV_AGE_331_TO_365_DAYS,estimated_storage_cost_next_30-days,INBOUND_QUANTITY,INBOUND_WORKING,INBOUND_SHIPPED,INBOUND_RECEIVED,NO_SALE_LAST_6_MONTHS
1020,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-SCE-ONIPCKL-275G,X002T04EBL,B07MVXN9C7,"[OTTOGI] PICKLING SAUCE FOR ONION, great dipping sauce for Korean BBQ (275g)",New,95,0,95,0,0,0,0,USD,0,0,0,0,5,30,53,79,Low traffic,8.34,8.34,8.34,0,GoToRestock,95,0,0,0,0,1.51,1.613322,Standard,0,0.017163,cubic feet,US,gl_grocery,151585,95,0,12,15,8.34,41.7,250.2,442.02,658.86,90,5,0,0,0,1.14,0,0,0,0,0
1021,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-RCE-NTB-436G,X002SZA5TH,B07NQPZDRV,"[OTTOGI] NOODLE TTEOK-BOKKI, Spicy Rice Cake, Korean Soul Food, Serving for two (436g)",New,11,0,11,0,0,0,0,USD,0,0,0,0,12,37,86,103,Low traffic,12.99,12.99,12.99,0,GoToRestock,1,0,0,0,0,7.1,0,Standard,0,0.067679,cubic feet,US,gl_grocery,35710,0,0,0,0,12.99,155.88,480.63,1003.42,1190.01,11,0,0,0,0,0.01,0,0,0,0,0
1022,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-RAM-JINSP-6CUP-2,X002T6SXDZ,B07PJ7RS6Q,"[OTTOGI] JIN RAMEN KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Ramen, Best tasting soup ramen, traditional gourmet taste & easy to cook (65g) - 6 PACK",New,574,0,574,0,0,0,0,USD,0,0,0,0,97,381,856,1297,,15.31,15.31,15.31,0,GoToRestock,536,0,0,0,0,1.55,140.75694,Standard,0,0.27438,cubic feet,US,gl_grocery,16747,36,0,5,5,15.31,1489.39,5913.27,13496.58,20655.63,514,3,57,0,0,86.48,0,0,0,0,0
1023,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-PSH-BUL-24PK,X002T0FRR1,B088G2QTLM,[OTTOGI] PPUSHU PPUSHU NOODLE SNACK- Bulgogi Flavor (90g) - 24 Pack,New,1,0,1,0,0,0,0,USD,0,0,0,0,11,31,50,50,Low traffic,31.5,31.5,31.5,0,GoToRestock,24,0,0,0,0,22.22,0,Standard,0,0.584031,cubic feet,US,gl_grocery,121720,25,0,3,6,31.5,346.5,976.52,1576.81,1576.81,1,0,0,0,0,7.66,25,0,1,24,0
1024,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-PSH-CHI-24PK,X002T08WS7,B089NZ28K9,[OTTOGI] PPUSHU PPUSHU NOODLE SNACK- Grilled Chicken Flavor(90g) - 24 Pack,New,18,0,18,0,0,0,0,USD,0,0,0,0,5,16,31,31,Low traffic,32.08,32.08,32.08,0,NoExcessInventory,41,0,0,0,0,4.28,9.512944,Standard,0,0.594559,cubic feet,US,gl_grocery,120296,120,0,10,17,32.08,160.4,513.88,996.38,996.38,18,0,0,0,0,17.03,25,0,1,24,0
1025,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-PSH-RCE-24PK,X002T08XPT,B089P2MDG5,[OTTOGI] PPUSHU PPUSHU NOODLE SNACK- Spicy Rice Cake Flavor (90g) - 24 Pack,New,20,0,20,0,0,0,0,USD,0,0,0,0,1,12,30,30,Low traffic,30.89,30.89,30.89,0,NoExcessInventory,43,0,0,0,0,4,8.522976,Standard,0,0.532686,cubic feet,US,gl_grocery,119526,102,0,13,17,30.89,30.92,371.04,929.33,929.33,20,0,0,0,0,16.11,25,0,1,24,0
1026,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-RAM-JINSP-1BOX,X002SS5BUH,B089P3X44P,"[OTTOGI] Jin Ramen, Spicy Flavor - Korean Instant Ramen Noodle, Best Tasting Soup Traditional Instant Ramen (120g) -18 Pack",New,1632,0,1632,0,0,0,0,USD,0,0,0,0,281,1181,2156,2683,,25.75,25.75,25.75,0,GoToRestock,2062,0,0,0,0,1.97,500.700312,Standard,0,0.488012,cubic feet,US,gl_grocery,2326,50,0,5,7,25.71,7267.91,30643.53,56358.86,70837.81,1632,0,0,0,0,632.61,503,0,3,500,0
1027,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-RAM-JINMD-4PK-NEW,X002V0DVD1,B08HYH7HWP,"[OTTOGI] Jin Ramen MILD - KOREAN STYLE INSTANT NOODLE, Best Tasting Soup and noodles, Traditional Instant ramen noodles (120g) - 4 Pack",New,159,0,159,0,0,0,0,USD,0,0,0,0,93,322,590,1001,,10.95,10.95,10.95,0,GoToRestock,139,0,0,0,0,3.22,11.853662,Standard,0,0.111827,cubic feet,US,gl_grocery,2300,11,0,1,1,10.95,1018.35,3522.9,6401.87,11013.31,10,149,0,0,0,5.84,10,0,10,0,0
1028,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-RAM-JINSP-4PK-NEW,X002V03WOT,B08HZFQY2M,"[OTTOGI] Jin Ramen, Spicy Flavor - Korean Instant Ramen Noodle, Best Tasting Soup Traditional Instant Ramen (120g) - 4 Pack",New,354,0,354,0,0,0,0,USD,0,0,0,0,34,243,524,798,,9.5,9.5,9.17,0,GoToRestock,346,0,0,0,0,1.89,37.960508,Standard,0,0.138542,cubic feet,US,gl_grocery,2300,56,0,6,6,9.5,323,2308.5,5020.31,8088.94,243,111,0,0,0,29.05,119,0,119,0,0
1029,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-RAM-CHSE-SPCY-4PK,X0032GHGN9,B08LBCP3FZ,"[OTTOGI] Cheese Ramen Spicy Flavor, KOREAN STYLE INSTANT NOODLE, deliciously cheesy and spicy (111g) - 4 pack",New,144,0,144,0,0,0,0,USD,0,0,0,0,9,75,160,266,,13.19,13.19,13.19,0,GoToRestock,138,0,0,0,0,2.72,17.51778,Standard,0,0.13903,cubic feet,US,gl_grocery,30703,51,0,6,6,13.19,118.71,989.25,2110.4,3508.54,80,64,0,0,0,11.71,0,0,0,0,0
1030,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-SCE-BBQSWEET-480G,X002T0OU7J,B08WJSCKHH,"[OTTOGI] Korean BBQ Sauce SWEET & SAVORY, Marinade & Cooking sauce 480G",New,49,0,49,0,0,0,0,USD,0,0,0,0,2,4,11,11,Low traffic,13.19,13.19,13.19,0,Advertise listing,2,12.66,231,0,0,0.42,2.820799,Standard,13.88,0.060017,cubic feet,US,gl_grocery,168346,126,0,47,55,13.19,26.38,52.76,145.09,145.09,0,49,0,0,0,2.17,0,0,0,0,0
1031,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-SCE-BBQHOT-500G,X002T0LV2L,B08WJTVGH5,"[OTTOGI] Authentic Korean BBQ Sauce Hot & Spicy, Marinade & Cooking Sauce 500g",New,45,0,45,0,0,0,0,USD,0,0,0,0,1,2,5,12,Low traffic,12.19,12.19,12.19,0,NoExcessInventory,45,0,0,0,0,0.52,2.83824,Standard,0,0.063072,cubic feet,US,gl_grocery,168346,181,0,90,48,12.19,12.19,24.38,60.95,146.28,45,0,0,0,0,2.12,0,0,0,0,0
1032,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-3MIN-CURRYMLD-3PK,X002THG59D,B08XN1MSWW,"[OTTOGI] 3Min.Curry Sauce (MILD), Ready in 3minutes (190g)- 3 Pack",New,19,0,0,0,1,18,0,USD,0,0,0,0,0,0,3,5,Low traffic,14.29,14.29,14.29,0,Create outlet deal,0,10,21,0,0,0.24,1.876991,Standard,615.8,0.098789,cubic feet,US,gl_grocery,0,305,19,0,49,14.29,0,0,42.87,71.45,0,0,0,1,18,4.09,0,0,0,0,0
1033,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-RCE-NTB-2PK,X002THG9NZ,B08XN2DZN8,"[OTTOGI] NOODLE TTEOK-BOKKI, Spicy Rice Cake, Korean Soul Food, Serving for two (436g) - 2 Pack",New,1,0,1,0,0,0,0,USD,0,0,0,0,5,23,56,73,,0,0,-1,-1,GoToRestock,0,0,0,0,0,3.65,0,Standard,0,0.344269,cubic feet,US,gl_grocery,35710,0,0,0,0,20.14,100.7,463.22,1127.84,1470.22,1,0,0,0,0,0,0,0,0,0,0
1034,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-RAM-JIN-JJBB-8PK,X002THKQM5,B08XN2F8XZ,[OTTOGI] JIN Jjambbong- Korean Style Instant Noodle - Spicy Seafood Noodle (130g) - 8 Pack,New,92,0,92,0,0,0,0,USD,0,0,0,0,27,88,168,237,,21.54,21.54,21.54,0,GoToRestock,227,0,0,0,0,2.79,25.351326,Standard,0,0.378378,cubic feet,US,gl_grocery,45125,76,0,9,11,21.54,581.62,1900.37,3640.13,5155.3,92,0,0,0,0,58.35,144,0,0,144,0
1035,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-3MIN-CURRYSPI-3PK,X002TK9B5Z,B08XN2GH61,"[OTTOGI] 3Min.Curry Sauce (SPICY), Ready in 3minutes (190g)- 3 Pack",New,47,0,0,2,0,40,5,USD,0,0,5,0.75,0,6,8,13,Low traffic,9.5,9.5,9.5,0,Create outlet deal,0,6.65,343,0,0,0.24,0.874012,Standard,395.04,0.018596,cubic feet,US,gl_grocery,0,366,47,31,47,9.5,0,57,76,123.5,0,0,0,0,40,2.52,0,0,0,0,0
1036,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-3MIN-JJANG-3PK,X002THG58T,B08XN2S45Y,"[OTTOGI] 3Min Black Bean Sauce, Ready in 3minutes (160g) - 3 Pack",New,16,0,16,0,0,0,0,USD,0,0,0,0,10,43,47,49,Low traffic,12.07,12.07,12.07,0,NoExcessInventory,95,0,0,0,0,5.6,1.129583,Standard,0,0.086891,cubic feet,US,gl_grocery,71965,80,0,8,24,12.07,121.46,524.16,573,597.42,16,0,0,0,0,5.66,80,0,0,80,0
1037,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-SCE-BIBIM-2PK,X002THKQMZ,B08XN2VXH1,"[OTTOGI] BIBIM SAUCE Bibimjang, Korean Gochujang Red Pepper Paste, Spicy paste dressing (500g) - 2 Pack",New,11,0,0,11,0,0,0,USD,0,0,0,0,1,1,1,2,Low traffic,20.89,20.89,20.89,0,Create outlet deal,0,14.62,364,0,0,0.17,0.676357,Standard,242.67,0.061487,cubic feet,US,gl_grocery,0,191,11,44,71,20.89,20.89,20.89,20.89,41.78,0,0,0,0,0,0.51,0,0,0,0,0
1038,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-RAM-JINMD-8PK,X002THKQMP,B08XN36BHV,"[OTTOGI] Jin Ramen MILD - KOREAN STYLE INSTANT NOODLE, Best Tasting Soup and noodles, Traditional Instant ramen noodles (120g) - 8 Pack",New,123,0,123,0,0,0,0,USD,0,0,0,0,9,31,102,132,,18.75,18.75,16.99,0,NoExcessInventory,119,0,0,0,0,2.32,43.049678,Standard,0,0.361762,cubic feet,US,gl_grocery,2300,158,0,15,11,16.99,168.75,573.53,1838.13,2411.15,120,3,0,0,0,31.12,0,0,0,0,0
1039,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-RCE-KIMTUNACUP-2PK,X002TK9HC7,B08XN3C7WZ,"[OTTOGI] Kimchi & Tuna Dupbap, Microwavable, Stir fried Kimchi sauce with Tuna (280g) - 2 Pack",New,48,0,48,0,0,0,0,USD,0,0,0,0,0,0,2,5,Low traffic,16.49,16.49,16.49,0,Advertise listing,0,16.2,210,0,0,0.19,10.209744,Standard,2081.37,0.212703,cubic feet,US,gl_grocery,0,366,0,0,124,16.49,0,0,32.98,82.45,48,0,0,0,0,7.28,0,0,0,0,0
1040,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-RAM-CHSE-8PK,X002THKQN9,B08XN3CTFJ,"[OTTOGI] Cheese Ramen, KOREAN STYLE INSTANT NOODLE, Rich flavor with savory cheese (111g) - 8 Pack",New,269,0,269,0,0,0,0,USD,0,0,0,0,29,51,53,245,,22.67,22.67,22.67,0,NoExcessInventory,263,0,0,0,0,2.13,93.918532,Standard,0,0.369758,cubic feet,US,gl_grocery,30703,157,0,19,13,22.67,662.09,1167.63,1205.63,4888.49,269,0,0,0,0,69.33,0,0,0,0,0
1041,2023-03-07T03:58:53.87+09:00,2023-03-07T04:06:54.724+09:00,2,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2023-03-04T17:00:00+09:00,FBA-OTG-RCE-BIBIMCUP-2PK,X002THG5AH,B08XN3JLDK,"[OTTOGI] HOT STONE POT Bibimbap Cupbap, Microwavable, Stir-Fried Vegetable Rice bowl with Red Pepper bibim sauce (269g) - 2 Pack",New,36,0,36,0,0,0,0,USD,0,0,0,0,4,13,30,38,Low traffic,15.11,15.11,15.11,0,GoToRestock,32,0,0,0,0,1.88,10.004768,Standard,0,0.312649,cubic feet,US,gl_grocery,146805,56,0,9,10,15.11,60.44,196.43,455.19,577.19,36,0,0,0,0,6.81,0,0,0,0,0
