ID,_created_on,_last_updated_on,_revision,_partneruuid,_row_index,DATE_TIME,SETTLEMENT_ID,type,ORDER_ID,SKU,DESCRIPTION,QUANTITY,MARKETPLACE,FULFILLMENT,ORDER_CITY,ORDER_STATE,ORDER_POSTAL,PRODUCT_SALES,SHIPPING_CREDITS,GIFT_WRAP_CREDITS,PROMOTIONAL_REBATES,SALES_TAX_COLLECTED,MARKETPLACE_FACILITATOR_TAX,SELLING_FEES,FBA_FEES,OTHER_TRANSACTION_FEES,OTHER,TOTAL,ACCOUNT_TYPE,MARKETPLACE_WITHHELD_TAX,TAX_COLLECTION_MODEL,PRODUCT_SALES_TAX,SHIPPING_CREDITS_TAX,GIFTWRAP_CREDITS_TAX,PROMOTIONAL_REBATES_TAX
1088,2023-03-07T04:18:17.43+09:00,2023-03-07T04:18:17.43+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-11-24T10:25:44+09:00,16885507041,Order,112-5481099-8889854,FBA-OTG-RAM-JINSP-6CUP-2,"[OTTOGI] JIN RAMEN KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Ramen, Best tasting soup ramen, traditional gourmet taste & easy to coo",1,amazon.com,Amazon,DORAL,FL,33178-1843,14.57,0,0,0,0,0,-2.34,-7.28,0,0,4.95,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1089,2023-03-07T04:18:17.43+09:00,2023-03-07T04:18:17.43+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-11-24T10:25:44+09:00,16885507041,Order,112-5481099-8889854,FBA-OTG-RAM-JINSP-6CUP-2,"[OTTOGI] JIN RAMEN KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Ramen, Best tasting soup ramen, traditional gourmet taste & easy to coo",1,amazon.com,Amazon,DORAL,FL,33178-1843,14.57,0,0,0,0,0,0,-7.28,0,0,7.29,Invoiced Orders,0,,0,0,0,0
1090,2023-03-07T04:18:17.43+09:00,2023-03-07T04:18:17.43+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-11-24T12:26:14+09:00,16885507041,Order,112-5481099-8889854,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,DORAL,FL,33178-1843,14.83,0,0,0,0,0,-2.38,-7.28,0,0,5.17,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1091,2023-03-07T04:18:17.43+09:00,2023-03-07T04:18:17.43+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-11-24T12:26:14+09:00,16885507041,Order,112-5481099-8889854,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,DORAL,FL,33178-1843,14.83,0,0,0,0,0,0,-7.28,0,0,7.55,Invoiced Orders,0,,0,0,0,0
1092,2023-03-07T04:18:17.43+09:00,2023-03-07T04:18:17.43+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-11-26T12:32:13+09:00,16961004521,Transfer,,,"To your account ending in: 349, Bank Transfer ID: 1LB90JMM96XARD1",0,,,,,,0,0,0,0,0,0,0,0,0,-68.95,-68.95,Invoiced Orders,0,,0,0,0,0
1093,2023-03-07T04:18:17.662+09:00,2023-03-07T04:18:17.662+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-12-01T17:08:30+09:00,16961004521,Order,114-0646639-1927449,FBA-OTG-RAM-JINSP-6CUP-2,"[OTTOGI] JIN RAMEN KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Ramen, Best tasting soup ramen, traditional gourmet taste & easy to coo",1,amazon.com,Amazon,ASHBURN,VA,20147-4881,14.67,0,0,0,0,0,-1.17,-7.28,0,0,6.22,Invoiced Orders,-0.37,MarketplaceFacilitator,0.37,0,0,0
1094,2023-03-07T04:18:17.662+09:00,2023-03-07T04:18:17.662+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-12-03T01:41:20+09:00,16961004521,Order,111-3641331-4971430,FBA-OTG-RAM-JINSP-6CUP-2,"[OTTOGI] JIN RAMEN KOREAN STYLE INSTANT NOODLE, RICH SPICY FLAVOR, Instant Cup Ramen, Best tasting soup ramen, traditional gourmet taste & easy to coo",1,amazon.com,Amazon,GREENFIELD,IN,46140-9633,14.37,0,0,0,0,0,-1.15,-7.28,0,0,5.94,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1095,2023-03-07T04:18:17.662+09:00,2023-03-07T04:18:17.662+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-12-04T01:19:22+09:00,16961004521,Order,111-7737812-1645063,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,NASHVILLE,TN,37211-3140,16.45,0,0,0,0,0,-9.88,-7.28,0,0,-0.71,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1096,2023-03-07T04:18:17.662+09:00,2023-03-07T04:18:17.662+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2022-12-04T01:19:22+09:00,16961004521,Order,111-7737812-1645063,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,NASHVILLE,TN,37211-3140,16.45,0,0,0,0,0,0,-7.28,0,0,9.17,Invoiced Orders,0,,0,0,0,0
1097,2023-03-07T04:18:17.662+09:00,2023-03-07T04:18:17.662+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,1,2022-12-04T01:19:22+09:00,16961004521,Order,111-7737812-1645063,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,NASHVILLE,TN,37211-3140,16.45,0,0,0,0,0,0,-7.28,0,0,9.17,Invoiced Orders,0,,0,0,0,0
1098,2023-03-07T04:18:17.662+09:00,2023-03-07T04:18:17.662+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,2,2022-12-04T01:19:22+09:00,16961004521,Order,111-7737812-1645063,FBA-OTG-RAM-JINMD-6CUP,"[OTTOGI] Jin Ramen Mild, KOREAN STYLE INSTANT CUP NOODLE, (65g) -6 Pack",1,amazon.com,Amazon,NASHVILLE,TN,37211-3140,16.45,0,0,0,0,0,0,-7.28,0,0,9.17,Invoiced Orders,0,,0,0,0,0
1099,2023-03-07T04:19:43.91+09:00,2023-03-07T04:19:43.91+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-05-21T22:58:07+09:00,14245600951,Order,114-9902780-0061016,FBA-OTG-RCE-CKD-210G,"[OTTOGI] Delicious COOKED RICE, Gluten free, Microwavable instant cooked rice, Precooked ready to eat container (7.40oz., 12 count)",1,amazon.com,Amazon,LAS VEGAS,NV,89103-4198,11.99,0,0,0,0,0,-0.96,-6.94,0,0,4.09,Invoiced Orders,0,MarketplaceFacilitator,0,0,0,0
1100,2023-03-07T04:19:43.91+09:00,2023-03-07T04:19:43.91+09:00,1,5c15d817-5a2c-4d77-bec4-80f5a6460f2e,0,2021-05-29T11:34:06+09:00,14245600971,Transfer,,,"To your account ending in: 349, Bank Transfer ID: 2POOH81061JE446",0,,,,,,0,0,0,0,0,0,0,0,0,-4.09,-4.09,Invoiced Orders,0,,0,0,0,0
